Date Time O3_ref O3_p1 O3_gen
04/30/26 "03:33:00 PM" 182.513 179.817 180
04/30/26 "03:34:00 PM" 182.703 179.627 180
04/30/26 "03:35:00 PM" 182.73 179.793 180
04/30/26 "03:36:00 PM" 182.933 179.917 180
04/30/26 "03:37:00 PM" 183.023 180.53 180
04/30/26 "03:38:00 PM" 182.92 180.492 180
04/30/26 "03:39:00 PM" 183.167 180.422 180
04/30/26 "03:40:00 PM" 183.637 180.715 180
04/30/26 "03:41:00 PM" 183.577 180.325 180
04/30/26 "03:42:00 PM" 183.473 179.858 180
04/30/26 "03:43:00 PM" 183.6 179.622 180
04/30/26 "03:44:00 PM" 184.683 180.063 180
04/30/26 "03:45:00 PM" 183.91 180.382 180
04/30/26 "03:46:00 PM" 184.09 180.792 180
04/30/26 "03:47:00 PM" 184.5 180.59 180
04/30/26 "03:48:00 PM" 184.71 181.16 180
04/30/26 "03:49:00 PM" 184.553 180.95 180
04/30/26 "03:50:00 PM" 184.883 180.805 180
04/30/26 "03:51:00 PM" 185.033 181.405 180
04/30/26 "03:52:00 PM" 184.667 181.767 180
04/30/26 "03:53:00 PM" 184.58 181.298 180
04/30/26 "03:54:00 PM" 184.553 180.823 180
04/30/26 "03:55:00 PM" 185.343 181.238 180
04/30/26 "03:56:00 PM" 185.407 181.632 180
04/30/26 "03:57:00 PM" 185.8 181.978 180
04/30/26 "03:58:00 PM" 185.65 181.44 180
04/30/26 "03:59:00 PM" 185.185 181.273 180
04/30/26 "04:00:00 PM" 184.772 180.78 180
04/30/26 "04:01:00 PM" 184.69 180.767 180
04/30/26 "04:02:00 PM" 185.643 181.363 180
04/30/26 "04:03:00 PM" 185.207 181.508 180
04/30/26 "04:04:00 PM" 186.337 181.507 180
04/30/26 "04:05:00 PM" 186.015 181.71 180
04/30/26 "04:06:00 PM" 185.883 181.35 180
04/30/26 "04:07:00 PM" 185.617 181.127 180
04/30/26 "04:08:00 PM" 186.51 181.827 180
04/30/26 "04:09:00 PM" 186.332 182.323 180
04/30/26 "04:10:00 PM" 186.01 181.995 180
